Genes	ctrl_1	ctrl_2	ctrl_3	ctrl_4	ctrl_5	trt_1	trt_2	trt_3	trt_4	trt_5
FANCG	745	1634	598	309	1580	934	583	408	575	530
FANCI	832	861	890	234	934	761	1048	479	485	870
FANCL	310	938	321	514	1167	744	479	673	349	525
FANCM	516	43	516	298	270	711	307	325	599	266
FANK1	1578	1157	1661	595	988	2977	1359	1517	1533	1392
FAP	538	258	382	730	259	574	921	185	1982	800
FAR1	800	2116	1296	2537	1491	858	4322	2604	2185	323
FAR2	197	1248	396	437	501	784	65	91	605	331
FARP1	1856	1684	2239	1983	3868	8464	9404	5037	2077	3914
FARP2	2632	1429	1464	767	2957	2210	942	1651	1999	1514
FARS2	2053	1144	1404	1231	2500	1053	759	1602	1891	102
FARSA	1379	109	882	1148	1053	1071	656	1485	2296	1552
FARSB	558	784	721	650	200	766	525	535	832	316
FAS	1019	230	612	656	871	1446	970	763	700	1082
FASLG	620	239	1460	971	733	750	947	1585	1244	805
FASN	529	413	545	1056	805	1191	166	1181	441	910
FASTK	2359	2055	2785	2947	1331	470	2237	1047	2827	609
FASTKD1	396	292	1033	844	789	3309	1598	1022	845	2494
FASTKD2	1376	293	1451	1869	1457	514	1249	657	2247	5226
FASTKD3	1250	1458	1598	363	830	1487	639	920	1008	1346
FASTKD5	1777	927	314	789	1659	1753	628	638	432	387
FAT1	1751	4888	2815	2814	839	1705	2314	1880	2169	3229
FAT2	1576	606	1024	1595	759	1214	1056	1322	624	1395
FAT3	3373	1173	1548	2657	624	141	1066	1371	2213	1384
FAT4	2222	1662	1581	1138	411	2277	2558	625	2338	1423
FATE1	934	2650	2039	1590	3094	1877	2305	1903	3952	1146
FAU	517	323	1450	936	707	593	131	584	395	299
FAXC	2783	1124	1744	1566	2759	961	1485	1534	1061	2224
FAXDC2	1602	258	294	459	1008	607	640	623	1823	221
FBF1	44	55	174	71	60	79	47	20	115	72
FBH1	121	215	198	395	288	205	336	269	128	95
FBL	1004	583	914	327	287	373	407	1848	436	1167
FBLIM1	924	1386	278	366	1066	504	572	1313	1319	2104
FBLL1	691	737	799	1671	1192	857	2370	1991	1584	295
FBLN1	545	2876	2114	1987	3896	1760	652	1637	2727	1018
FBLN2	1701	2084	669	1100	2312	767	800	1324	3289	851
FBLN5	129	239	39	131	116	131	80	159	150	51
FBLN7	301	268	641	416	149	411	720	498	660	284
FBN1	960	305	467	761	335	1456	384	367	591	438
FBN2	720	719	1234	1389	1576	729	1269	609	1353	582
FBN3	90	154	165	243	82	188	177	232	80	211
FBP1	1112	1262	976	645	890	348	1685	414	2907	2478
FBP2	1180	2316	1197	690	2490	3846	1731	803	2105	335
FBRS	936	977	257	770	1902	2959	1169	1528	1024	1279
FBRSL1	716	3495	5045	577	738	1648	1906	347	2141	1281
FBXL12	3390	2650	1009	1215	659	163	123	163	39	148
FBXL13	805	1075	413	120	1204	926	2121	1073	3063	1911
FBXL14	217	441	64	151	34	232	63	216	409	145
FBXL15	1484	2309	308	2426	2671	1652	2239	3839	2827	2932
FBXL16	2802	1104	1757	318	3341	2658	1567	485	2655	1300
FBXL17	1822	2200	2481	1493	1110	490	1142	705	1046	1567
FBXL18	244	599	274	301	384	675	365	286	730	535
FBXL19	2039	1171	1206	2467	1206	1315	1520	2597	1237	1492
FBXL2	105	154	282	114	64	284	65	146	129	274
FBXL20	188	114	721	250	251	189	183	387	50	175
FBXL22	205	624	498	398	265	649	758	492	590	786
FBXL3	577	1020	1269	963	1043	537	672	1326	1095	450
FBXL4	270	640	155	141	164	379	428	338	101	318
FBXL5	174	186	327	242	190	350	243	175	416	127
FBXL6	1632	697	3299	1911	1539	1391	529	1301	1770	1190
FBXL7	1084	276	2943	1209	2279	924	1343	2259	1772	1056
FBXL8	999	628	611	1438	541	289	312	194	232	342
FBXO10	233	608	2199	846	1001	1579	1383	1059	150	774
FBXO11	1218	957	1769	1012	1493	169	2977	2016	2338	872
FBXO15	200	39	199	64	103	32	89	40	50	131
FBXO16	193	353	315	48	169	415	352	429	195	481
FBXO17	521	1129	1326	426	1196	740	880	841	594	1893
FBXO2	319	483	504	221	168	627	538	171	264	170
FBXO21	2803	948	901	710	790	1572	371	1235	1196	2597
FBXO22	1099	1247	1479	2589	1307	2783	866	1623	2134	3012
FBXO24	1584	1385	755	3953	1206	2439	807	2120	1503	512
FBXO25	1320	1765	1986	572	1964	2601	1889	775	3403	2637
FBXO27	3031	689	725	768	230	1804	2114	3403	853	1142
FBXO28	196	235	241	142	203	330	122	114	313	134
FBXO3	1601	864	1856	1617	1025	1093	4819	1603	1235	2493
FBXO30	438	243	543	280	349	213	143	479	104	327
FBXO31	1994	804	1010	2331	332	933	56	1761	1234	1028
FBXO32	1089	452	834	740	444	1603	874	1330	1420	1783
FBXO33	258	195	173	159	113	51	58	92	39	114
FBXO34	1120	1612	1494	2569	1740	1043	1114	1730	862	560
FBXO36	212	236	268	335	96	135	73	52	84	81
FBXO38	275	611	448	273	483	557	843	975	444	803
FBXO39	1830	2262	1542	1726	846	1117	2198	739	1378	1506
FBXO4	553	415	185	335	241	354	559	531	286	253
FBXO40	70	552	157	220	130	206	707	2020	632	635
FBXO41	733	421	179	1064	1429	628	1226	1625	974	845
FBXO42	1237	1789	2162	1943	2561	2413	939	748	1200	1878
FBXO43	264	131	196	289	239	197	142	449	182	114
FBXO44	979	370	589	449	1777	234	173	1100	741	147
FBXO45	1378	3972	1898	2558	2424	1556	1586	1307	2374	2990
FBXO46	149	169	452	390	233	306	182	269	175	306
FBXO47	520	920	963	621	666	357	271	188	216	194
FBXO48	600	1379	766	1316	948	1581	5090	1504	2796	1317
FBXO5	1600	812	1031	2252	686	1996	1687	1662	1827	1762
FBXO6	1270	1555	521	1539	2105	1932	970	417	695	602
FBXO7	288	281	200	161	27	310	500	386	306	189
FBXO8	1484	1905	3651	4888	2961	3296	3086	1020	1425	1442
FBXO9	2607	1604	1485	1844	537	1617	1290	2491	1863	1508
FBXW10	507	238	695	294	443	766	226	325	70	142
FBXW11	128	74	85	121	81	42	58	92	203	100
FBXW12	2590	3522	2633	1637	5026	1813	1563	5772	725	2174
FBXW2	1895	1078	1013	1997	1118	700	809	363	2587	851
FBXW4	1815	1723	862	2186	1315	2372	1175	1116	1345	1374
FBXW5	2583	1639	1578	1268	910	556	1075	2015	662	1681
FBXW7	1965	1269	845	1180	1178	2009	1939	2181	1113	2507
FBXW8	1485	3901	1148	2522	472	752	890	1460	948	994
FBXW9	105	82	645	226	546	299	385	272	306	166
FCAMR	253	1086	957	675	498	64	65	162	117	145
FCAR	2161	3064	817	903	1024	1237	4057	627	563	3223
FCER1A	1109	483	2863	1666	1428	7462	4038	8989	6606	3355
FCER1G	291	660	2429	1615	1455	646	1231	2109	1283	2518
FCER2	1669	4860	1420	1609	2983	3909	740	2245	552	1178
FCF1	1294	576	693	443	1419	561	623	1732	2114	1658
FCGBP	390	704	284	639	265	358	690	138	208	467
FCGR1A	1806	625	2696	728	2716	1271	1548	1041	3411	2221
FCGR1B	1350	2846	798	760	2161	1057	253	990	1559	1505
FCGR2A	287	278	49	158	146	71	192	75	138	216
FCGR2B	400	336	93	1425	916	528	245	263	524	757
FCGR2C	975	1046	1618	642	1302	1253	1811	943	2327	573
FCGR3A	793	1052	3026	1855	1132	1457	1766	2428	1584	789
FCGR3B	835	193	1214	111	386	451	472	294	396	615
FCGRT	747	619	341	231	307	766	303	609	563	632
FCHO1	640	1345	891	205	1027	1478	1336	1534	509	673
FCHO2	830	1908	1744	525	1807	1068	1194	2317	2821	1182
FCHSD1	1624	645	576	2646	2784	1726	1205	2438	2243	1283
FCHSD2	794	667	1819	1524	1790	1781	1124	887	297	826
FCMR	513	1046	1514	661	1255	424	900	836	180	666
FCN1	1322	654	323	620	1250	552	347	551	692	400
FCN2	867	1137	1103	868	885	1117	448	2094	1073	681
FCN3	503	260	394	677	377	184	75	88	121	174
FCRL1	2397	1334	4690	572	708	1167	1468	1441	2702	3509
FCRL2	161	518	335	301	226	541	134	187	73	368
FCRL3	750	2708	1763	2689	1104	1413	800	2647	354	919
FCRL4	732	288	709	931	671	1014	211	209	383	323
FCRL5	1401	1447	828	448	525	692	1039	520	982	2737
FCRL6	652	459	776	184	270	402	161	1796	144	1200
FCRLA	535	448	348	834	285	355	528	394	1921	386
FCRLB	626	1279	1107	870	735	2786	2471	1383	1585	1803
FDCSP	2829	2174	286	684	1533	3693	3622	7859	5820	9228
FDFT1	1135	719	445	705	697	746	301	800	976	443
FDPS	967	221	1070	2188	1303	1053	963	2111	1312	1272
FDX1	1075	445	1275	323	1247	130	198	499	143	204
FDX2	764	442	987	1210	1506	1025	1113	368	1112	2287
FDXACB1	413	623	845	1518	581	792	591	1599	282	2189
FDXR	1946	3419	4004	952	3126	264	177	1408	2284	1249
FECH	1551	972	2244	115	825	116	127	335	75	106
FEM1A	185	577	608	677	452	116	347	511	365	1121
FEM1B	2082	1832	3320	4265	2635	2034	1272	439	1872	2695
FEM1C	743	360	290	648	312	23	66	66	68	40
FEN1	681	2277	2056	1395	1003	2167	1603	2024	1565	1445
FER	646	236	459	197	318	311	88	355	411	355
FER1L5	1059	1049	1864	1117	181	2105	3562	1603	1531	243
FER1L6	987	462	310	183	499	742	433	370	166	485
FERD3L	1599	1632	2945	5225	2396	572	2927	1690	985	2135
FERMT1	1666	1050	1265	959	435	956	1033	863	462	990
FERMT2	719	605	722	748	950	497	170	1944	390	398
FERMT3	370	231	298	205	159	393	259	499	139	421
FES	522	462	488	1289	1103	192	267	94	207	98
FETUB	503	1346	1409	1360	440	698	1049	491	861	585
FEV	1671	1269	1477	1344	605	905	944	742	648	924
FEZ1	829	202	264	270	543	969	637	290	277	256
FEZ2	2238	919	1498	1018	1037	806	1310	1167	1264	2129
FEZF1	587	575	727	1739	721	318	1276	852	602	175
FEZF2	383	329	1048	335	289	508	390	298	109	292
FFAR1	209	312	321	292	383	515	320	495	66	333
FFAR2	1594	3147	983	1282	1870	309	773	129	290	74
FFAR3	2172	3394	1748	1984	1884	2131	4634	1655	2446	1073
FFAR4	523	583	396	268	441	81	274	57	379	90
FGA	1392	1941	338	1023	1222	1218	1104	963	1166	1518
FGB	207	155	166	255	75	54	13	10	73	33
FGD1	652	775	91	899	871	1087	387	464	1622	683
FGD2	1224	970	428	2167	489	1769	1261	284	696	1360
FGD3	513	734	398	611	273	311	278	337	559	770
FGD4	413	1743	1217	1119	1287	946	335	1032	1700	1365
FGD5	2556	1573	1139	2937	2159	2927	1120	1730	2943	3752
FGD6	1481	1641	1731	1639	2400	1810	1836	1607	3415	2617
FGF1	401	236	163	292	150	30	56	55	45	74
FGF10	554	899	385	472	970	867	441	189	826	380
FGF11	1539	454	845	844	806	2102	1106	3440	2897	1398
FGF12	109	471	786	119	263	93	338	788	435	495
FGF13	307	449	3181	1035	2467	313	970	2421	2727	1246
FGF14	495	735	672	496	75	677	640	492	651	201
FGF16	1050	784	559	349	959	1194	303	374	456	1070
FGF17	284	546	875	66	269	123	477	499	361	339
FGF18	1437	3790	1569	4121	3292	2411	1233	1111	1417	1022
FGF19	1191	1418	301	1896	1135	1514	2641	1775	619	2196
FGF2	392	211	774	815	285	790	570	501	900	478
FGF20	272	3099	1607	708	2313	566	1990	3821	774	1481
FGF21	811	595	1281	1548	644	968	473	268	881	869
FGF22	263	280	185	455	284	166	352	72	315	342
FGF23	4247	749	2182	5327	3314	454	611	1078	723	1778
FGF3	356	1162	1335	1652	716	1446	1699	1359	1576	954
FGF4	569	387	461	1091	1055	1549	768	382	480	515
FGF5	271	308	986	925	957	577	128	729	1443	491
FGF6	1129	1753	1007	1319	3221	339	499	608	206	401
FGF7	706	2326	2639	1395	1768	2001	1005	2130	2943	2005
FGF8	783	1450	1452	657	908	12931	5311	3656	6165	1356
FGF9	629	366	519	184	249	64	309	766	594	86
FGFBP1	1949	1607	1168	2071	2744	1731	1101	1209	769	2590
FGFBP2	661	287	268	282	473	314	314	991	389	310
FGFBP3	2198	2556	984	2300	1011	1323	3431	2968	1442	1064
FGFR1	137	81	73	110	118	211	62	105	201	219
FGFR1OP	1032	556	1177	269	671	1667	405	349	413	503
FGFR1OP2	1042	840	517	543	702	392	744	639	419	438
FGFR2	3188	2881	1542	2340	855	3767	5110	4299	2062	4499
FGFR3	1958	1352	1988	2186	2210	4732	2167	1775	1732	1774
FGFR4	935	1130	690	518	1335	974	946	1074	802	909
FGFRL1	1962	1538	1076	2422	1923	140	410	780	628	693
FGG	1375	2232	2723	1011	1060	1246	3301	1457	1842	1883
FGGY	38	59	75	101	224	34	54	188	179	119
FGL1	1622	2219	839	723	2669	2420	1251	1999	397	957
FGL2	390	1906	1833	1397	739	2564	2228	1195	1623	190
FGR	97	152	87	138	103	80	112	53	79	142
FH	192	93	82	200	300	56	178	66	90	177
FHAD1	1414	971	508	691	631	952	169	917	559	1318
FHDC1	183	116	377	384	148	60	43	50	157	120
FHIT	498	209	849	1110	422	173	827	1497	895	1232
FHL1	2668	1112	3042	874	252	287	532	1456	781	1898
FHL2	1432	1341	866	1086	1919	771	2418	1153	1275	1888
FHL3	173	167	458	358	208	307	325	445	297	491
FHL5	1664	1411	630	1397	2015	1926	2257	2034	1698	2148
FHOD1	2002	385	2503	450	1146	2445	1780	2156	1858	2583
FHOD3	2876	2901	1896	3668	2494	4419	2111	2688	2638	2046
FIBCD1	228	160	118	329	108	121	243	384	311	1064
FIBIN	1282	2300	3319	1681	1865	1658	305	735	1349	1105
FIBP	3058	2138	2017	1242	2985	1777	1868	1075	386	3518
FICD	1610	1060	1345	759	1340	2103	806	993	767	1915
FIG4	269	559	607	270	924	464	720	1153	287	755
FIGLA	181	294	429	477	416	758	2324	1380	1431	1568
FIGN	2211	1363	710	2330	1863	1318	989	2017	2669	2528
FIGNL1	1381	391	1923	678	904	1496	2312	1192	1516	2475
FIGNL2	4490	1780	1768	1910	2135	1796	1405	801	1522	1598
FILIP1	1905	996	3694	2623	1622	1292	829	1745	497	1348
FILIP1L	769	287	633	1385	720	1064	997	1152	364	525
FIP1L1	433	1202	2020	643	640	1740	716	1132	2179	1079
FIS1	54	61	150	89	116	48	94	71	141	140
FITM1	746	639	1100	218	395	324	1354	512	202	284
FITM2	592	1924	611	450	1172	396	1114	560	950	469
FIZ1	940	2022	680	498	1708	1812	1927	587	3286	860
FJX1	491	406	413	478	903	769	654	210	251	431
FKBP10	3266	1507	2150	301	955	1844	1894	2213	2810	2491
FKBP11	427	496	122	152	108	202	373	326	468	415
FKBP14	1240	617	2082	517	1018	793	1773	805	729	708
FKBP15	856	323	911	556	745	1192	367	1074	347	936
FKBP1A	469	784	406	384	1030	887	1126	230	418	692
FKBP1B	1714	1223	2381	2877	2846	1401	2397	965	1249	1249
FKBP2	1050	1521	381	981	914	5260	15477	5743	6063	13757
FKBP3	852	2176	660	1054	42	533	755	1061	883	927
FKBP4	704	1332	389	877	1306	326	1103	936	2077	532
FKBP5	302	350	298	447	353	345	656	336	556	165
FKBP6	791	1734	690	2732	487	1911	743	1142	838	1041
FKBP7	1354	3373	500	929	901	5840	6378	3626	11378	4069
FKBP8	1583	1796	1180	1926	3930	3289	356	1560	1334	776
FKBP9	382	827	1696	445	497	6539	9185	3368	3604	3909
FKBPL	1166	165	310	393	526	1433	401	244	383	488
FKRP	1580	377	393	894	718	391	578	680	2035	2294
FKTN	83	132	213	311	226	251	150	133	348	246
FLAD1	359	250	428	76	143	191	176	87	235	28
FLCN	308	345	1695	556	1235	1805	2106	745	227	1960
FLG	1638	1165	1348	1127	1527	321	862	753	1388	1493
FLG2	377	218	273	281	620	315	632	323	642	399
FLI1	1341	576	1674	394	1484	1850	1173	2365	1935	876
FLII	738	1158	177	1701	1694	986	1248	706	844	1523
FLJ20712	290	869	681	544	964	318	390	544	563	700
FLJ44635	434	821	3623	630	690	3290	1554	1095	2701	1976
FLJ45513	562	333	340	82	368	243	348	222	731	332
FLNA	1421	985	792	517	1034	2416	1584	863	618	465
FLNB	2237	600	2025	2887	630	1416	2113	2074	2881	1355
FLNC	1431	646	2008	1090	1208	806	1442	974	935	569
FLOT1	1288	425	1059	1286	1721	983	520	2013	3121	1139
FLOT2	68	239	273	109	325	36	115	20	105	322
FLRT1	795	655	1447	1566	398	74	591	160	353	230
FLRT2	1441	1200	1283	1716	1529	2089	1410	696	239	2826
FLRT3	1454	969	1224	1121	1769	924	995	595	1238	371
FLT1	740	916	850	3222	1000	1196	3135	2159	856	2553
FLT3	2743	870	771	127	1208	3042	1503	1776	4193	568
FLT3LG	1447	843	1871	1215	867	1042	734	356	1851	979
FLT4	366	369	717	267	481	195	652	1009	707	489
FLVCR1	1061	354	942	1230	1181	1067	1360	473	1159	1211
FLVCR2	776	2238	1594	946	2154	1274	2495	960	2036	1302
FLYWCH1	1141	1908	850	2437	942	899	1317	1689	535	747
FLYWCH2	2236	2067	1766	2312	1295	5901	11364	12356	7380	3471
FMC1	801	448	653	263	191	197	95	397	917	713
FMN1	1477	1245	785	627	765	4375	3242	2670	2116	1747
FMN2	1447	731	821	933	973	1604	1253	1741	1700	799
FMNL1	2082	891	954	1005	467	1813	432	1949	1417	1826
FMNL2	295	815	2830	2476	1015	823	1799	1571	3361	3048
FMNL3	258	1590	1622	635	255	625	315	416	577	1377
FMO1	156	121	256	197	82	80	138	63	206	550
FMO2	1013	564	623	454	721	1234	224	1260	344	1264
FMO3	665	320	497	685	700	360	890	1307	407	604
FMO4	991	3058	1749	760	930	1501	2127	2852	2954	1203
FMO5	581	835	1320	408	592	1669	250	511	636	537
FMOD	396	321	362	163	539	410	869	386	459	516
FMR1	1163	901	1331	1519	520	886	591	664	1058	1004
FMR1NB	869	1008	603	988	680	475	1781	1436	836	886
FN1	572	2463	1485	3208	692	2095	645	1186	2192	1823
FN3K	435	232	98	122	53	66	386	172	133	109
FN3KRP	700	957	497	751	837	463	416	590	876	135
FNBP1	1651	717	1935	2484	562	2419	1740	2734	1244	1520
FNBP1L	661	781	404	252	322	244	495	140	332	593
FNBP4	2068	2426	2068	675	2894	2766	1616	1840	895	3376
FNDC1	1048	330	517	492	444	933	381	256	1129	338
FNDC10	648	396	713	1526	904	933	503	484	520	734
FNDC11	98	128	221	237	260	316	148	91	166	191
FNDC3A	1068	763	1123	1127	1860	380	839	915	343	646
FNDC3B	1518	908	1708	823	515	583	693	2434	1471	1346
FNDC4	655	159	1032	745	357	900	394	333	566	982
FNDC5	485	745	946	1286	513	1552	1888	927	2382	658
FNDC7	351	221	380	200	555	717	280	163	297	173
FNDC8	1368	1259	1016	2962	1652	891	1184	619	1167	2160
FNDC9	428	4071	1651	1362	216	387	290	229	1111	218
FNIP1	204	96	173	130	209	209	108	149	317	166
FNIP2	521	693	442	973	466	3742	851	1631	2204	963
FNTA	421	972	1784	5091	2367	1200	3351	1124	1350	782
FNTB	1266	596	2220	2499	539	1475	1299	1451	773	1068
FOCAD	131	117	51	342	94	409	195	151	120	267
FOLH1	1348	552	204	1250	727	1588	1687	774	1762	537
FOLH1B	508	931	296	617	490	524	118	1225	603	426
FOLR1	694	237	172	126	582	287	373	387	108	720
FOLR2	2068	3058	971	2382	1396	1849	779	2690	787	1087
FOLR3	2473	2108	1385	1785	2205	1694	1149	1972	1334	2662
FOPNL	726	2554	998	246	1449	693	1235	2181	1254	780
FOS	460	796	864	861	434	681	236	812	271	603
FOSB	352	186	198	87	91	416	331	162	194	245
FOSL1	690	474	1100	3308	2475	2536	763	4620	2766	1619
FOSL2	90	116	40	81	123	14	12	35	13	14
FOXA1	521	389	456	1420	743	184	846	528	2035	275
FOXA2	752	478	507	428	414	643	477	334	294	522
FOXA3	2619	1230	2254	1610	2512	1078	788	1450	2049	2483
FOXB1	290	381	561	359	373	1959	511	381	701	761
FOXB2	464	343	1473	1070	400	522	608	459	685	663
FOXC1	3006	2943	2138	744	934	2530	2549	3043	1326	1238
FOXC2	723	835	2157	1140	654	483	300	791	1748	1435
FOXD1	163	45	349	123	214	283	131	99	422	321
FOXD2	2166	470	884	1112	1287	2086	1517	3536	806	1768
FOXD3	482	440	777	195	405	232	851	152	521	363
FOXD4	734	688	338	1026	1488	1228	1715	1144	1062	401
FOXD4L1	2675	2512	2243	1947	1423	678	2027	1233	107	1766
FOXD4L3	851	368	662	413	752	877	103	447	198	353
FOXD4L4	683	566	883	846	557	1018	348	483	533	784
FOXD4L5	2420	2287	1248	699	1050	4702	12021	2506	6867	4870
FOXD4L6	1335	366	881	695	1769	1130	3100	1197	799	2321
FOXE1	460	737	1221	2816	1271	1152	1875	1134	2079	594
FOXE3	242	52	39	43	194	20	8	28	6	9
FOXF1	223	783	910	1334	498	583	2051	340	508	602
FOXF2	1294	1013	1410	514	564	715	782	808	366	619
FOXG1	770	694	705	597	155	1400	2544	2346	3290	3164
FOXH1	719	841	479	1023	846	3970	3676	1761	2689	4678
FOXI1	1624	876	833	1128	2734	1106	1044	1805	457	503
FOXI2	194	280	614	294	85	229	289	248	140	121
FOXI3	678	212	991	1834	747	697	584	300	153	601
FOXJ1	619	1767	796	1426	558	786	1245	942	864	1423
FOXJ2	385	405	521	251	1784	141	395	357	895	786
FOXJ3	1741	2637	839	1074	1317	1651	1173	2230	839	2358
FOXK1	915	1236	579	660	357	849	612	735	958	521
FOXK2	731	1135	1681	1583	1339	1577	1318	1541	1526	1439
FOXL1	2060	2487	3314	871	976	907	798	2013	654	1733
FOXL2	3071	2537	1709	2478	1164	2170	1325	1065	1956	1544
FOXL2NB	225	102	140	198	205	129	230	53	130	86
FOXM1	1426	605	1408	2652	3190	2897	2867	512	1621	219
FOXN1	166	158	632	595	726	214	579	57	228	146
FOXN2	128	150	70	191	103	161	36	119	74	21
FOXN3	869	660	1537	913	1668	1495	565	446	912	664
FOXN4	824	384	529	661	477	120	46	25	58	152
FOXO1	663	450	566	642	490	646	370	380	246	392
FOXO3	727	933	204	249	639	210	598	1022	670	129
FOXO4	976	838	261	478	801	663	358	1093	256	418
FOXO6	256	1072	1617	1010	528	687	1025	1797	827	507
FOXP1	201	107	250	88	360	521	145	158	229	251
FOXP2	2316	1010	966	1247	1582	295	141	137	246	336
FOXP3	4152	2630	2160	1176	1265	1194	1712	1375	2954	1469
FOXP4	817	711	1003	1076	1043	1178	507	1640	2043	267
FOXQ1	1562	2204	357	1020	1248	728	834	395	2584	199
FOXR1	2906	1892	2143	2473	1698	915	2326	1522	928	2267
FOXR2	129	150	643	161	355	175	283	331	160	125
FOXRED1	859	727	1078	1551	695	2221	3774	1877	4205	4419
FOXRED2	1151	682	1224	516	1233	2887	2108	1129	1933	1791
FOXS1	1712	2193	1354	1755	2094	1168	3046	3418	1894	2667
FPGS	2568	1480	1711	1051	962	908	1101	815	1078	1262
FPGT	133	388	397	339	96	131	208	290	287	335
FPGT-TNNI3K	2623	872	2930	1212	2711	1026	2423	1197	1174	1984
FPR1	446	892	632	478	270	876	605	1769	2552	1339
FPR2	1263	833	991	443	567	421	1239	488	1122	592
FPR3	751	482	1264	637	364	1224	1368	545	889	686
FRA10AC1	914	654	2354	422	249	440	1227	464	955	309
FRAS1	1796	2391	898	2509	4517	686	1991	1490	949	1563
FRAT1	474	1190	2015	1263	1765	1172	1565	2696	1098	2046
FRAT2	902	1188	2304	819	4249	453	545	243	421	683
FREM1	114	70	189	61	79	113	29	18	107	88
FREM2	627	530	981	1196	1229	1656	479	1368	498	406
FREM3	211	621	623	1447	1006	542	1145	3509	1750	489
FRG1	1413	369	886	632	981	1371	830	1713	673	271
FRG2	2526	1317	2247	2154	1169	2415	827	675	842	1793
FRG2B	3005	437	2016	1488	2153	1715	3756	2831	820	298
FRG2C	1349	433	2070	610	922	1357	2009	1061	494	603
FRK	256	123	121	392	150	315	124	262	165	82
FRMD1	1423	1397	1211	296	873	2334	1249	1258	229	767
FRMD3	2611	1723	3120	2296	610	551	5886	1317	1384	1499
FRMD4A	150	690	576	882	914	175	485	633	839	1190
FRMD4B	1156	1736	1288	925	1085	1117	1442	2260	1383	1881
FRMD5	358	944	483	212	439	463	730	561	553	853
FRMD6	752	1471	941	521	1425	1709	1494	1317	132	844
FRMD7	1765	981	711	1847	2046	320	218	352	595	65
FRMD8	982	1213	1528	1648	734	866	1344	1877	98	1956
FRMPD1	2253	780	1986	2288	6259	214	1013	379	741	592
FRMPD2	81	677	638	342	600	500	190	179	783	487
FRMPD3	214	880	561	451	471	537	1023	237	338	374
FRMPD4	2199	750	1481	2936	2511	1830	1501	1493	1748	1788
FRRS1	616	190	278	521	117	1096	110	492	410	234
FRRS1L	232	708	1014	1587	888	1386	1143	420	1255	1788
FRS2	57	64	187	95	137	55	78	55	72	112
FRS3	356	177	219	270	586	635	320	267	396	350
FRY	834	1464	1165	269	543	1220	9589	2681	5771	1943
FRYL	1505	1640	2397	1295	3231	1968	2276	1244	1901	2354
FRZB	247	286	393	75	247	145	243	138	199	263
FSBP	636	137	318	691	270	408	506	208	186	567
FSCB	113	379	372	151	297	306	149	188	611	183
FSCN1	932	1187	142	984	826	809	1137	625	174	1745
FSCN2	293	458	354	70	317	239	459	272	475	274
FSCN3	760	708	288	645	465	5583	5911	1300	4849	4940
FSD1	714	1421	5549	2587	2051	1831	701	956	1202	2066
FSD1L	1521	1128	1381	673	2674	1476	345	1360	1485	1058
FSD2	571	901	715	887	613	197	201	178	155	67
FSHB	958	1422	2420	857	1154	2483	2212	1749	913	765
FSHR	1740	1140	1296	1184	948	549	1076	3356	890	2180
FSIP1	365	432	423	1278	901	878	714	746	923	423
FSIP2	1021	899	1032	794	650	177	260	149	245	63
FST	648	508	546	1085	2173	174	112	297	262	146
FSTL1	419	254	644	334	383	1062	181	593	984	313
FSTL3	2603	364	1968	1517	450	1093	1870	2389	1517	1594
FSTL4	1561	1348	1041	1600	1405	3031	2051	1276	2468	2036
FSTL5	1627	1169	697	461	1433	277	339	408	789	1716
FTCD	2298	1117	1171	910	459	1427	1299	2260	2704	1196
FTCD-AS1	539	2013	647	1743	640	1052	891	794	1442	1594
FTCDNL1	120	41	52	137	112	118	145	62	305	121
FTH1	438	405	298	403	283	221	316	246	277	539
FTH1P18	2288	1060	560	260	672	2705	924	1453	692	1660
FTHL17	1017	3857	2160	1598	1996	2230	1019	706	3157	2085
FTL	1180	3981	929	1040	4172	1078	822	2141	1143	2476
FTMT	3330	3387	1100	1065	1872	4324	3830	438	2173	1874
FTO	1216	275	1450	525	536	937	1286	850	755	358
FTSJ1	675	359	220	788	1019	596	205	219	168	168
FTSJ3	585	758	1224	671	852	65	334	135	32	306
FUBP1	130	124	462	138	106	130	18	202	311	171
FUBP3	1609	1281	1493	1618	1406	1245	433	1321	1537	847
FUCA1	920	1769	537	419	2584	1521	2131	1460	1056	2638
FUCA2	1656	1595	637	947	715	2047	1051	1197	1932	535
FUK	1440	903	1080	546	969	1101	1496	557	1587	1230
FUNDC1	491	380	725	321	439	343	652	1359	295	467
FUNDC2	536	254	969	297	748	486	351	189	1304	100
FUOM	773	822	453	321	1375	1322	1146	708	574	664
FURIN	1892	1137	1768	1260	1522	782	1426	1114	1166	985
FUS	1384	449	628	2135	310	696	1286	544	732	556
FUT1	2035	2390	2610	893	2642	3358	2252	2205	1323	1696
FUT10	1686	2872	3044	1282	4152	714	1823	1103	1689	891
FUT11	235	401	230	353	446	425	204	385	204	134
FUT2	388	861	50	334	308	199	161	196	415	482
FUT3	1026	2115	1448	1806	603	707	566	2097	1026	3059
FUT4	1074	329	233	315	1402	860	271	457	682	432
FUT5	3593	732	5088	2217	1088	1802	1533	598	1936	2352
FUT6	1548	983	652	1197	699	1436	307	484	1943	1299
FUT7	268	467	693	411	525	427	731	332	40	353
FUT8	969	112	1615	394	2221	258	256	114	81	159
FUT9	1903	862	439	650	976	623	666	578	554	665
FUZ	942	1800	1256	269	2119	535	2006	4721	3027	781
